City,,Day_of_Week,Ride_Distance_KM,Ride_Type,Weather,Available_Drivers,Demand_Level,Hour_of_Day,Is_Weekend,Ride_Priority,Time_of_Day,Surge_Multiplier
Cần Thơ,,1,6.76,Xe Máy,Nhiều Mây,0.940635,0.408931,5,0,96.17,Chiều,1
Hồ Chí Minh,,3,3.34,Ô Tô 4 Chỗ,Mưa Bão,0.236479,0.818456,4,0,85.79,Cao điểm Sáng,3.18
Đà Nẵng,,5,8.86,Xe ViP,Mưa,0.916087,0.837136,23,1,94.6,Chiều,1.3
Hồ Chí Minh,,6,15.95,Xe ViP,Nhiều Mây,0.977525,0.933445,15,1,87.14,Cao điểm Tối,1.29
Hải Phòng,,1,19.5,Ô Tô 4 Chỗ,Nắng,0.843581,0.807745,12,0,84.91,Cao điểm Tối,1.39
Hà Nội,,3,16.48,Ô Tô 4 Chỗ,Nắng,0.466766,0.840493,17,0,84.57,Chiều,1.56
Hà Nội,,0,1.93,Xe ViP,Nắng,0.697425,0.593713,2,0,93.32,Đêm,1
Hà Nội,,6,13.51,Ô Tô 4 Chỗ,Mưa,0.294377,0.990464,12,1,88.98,Cao điểm Sáng,3.2
Đà Nẵng,,2,11.78,Ô Tô 4 Chỗ,Mưa Bão,0.579559,0.920623,4,0,94.86,Đêm,1.86
Cần Thơ,,5,7.33,Xe ViP,Nắng,0.768717,0.96086,19,1,89.24,Đêm,1.2
Đà Nẵng,,5,16.28,Ô Tô 4 Chỗ,Nắng,0.430289,0.537023,4,1,88.64,Chiều,1
Đà Nẵng,,6,7.65,Xe Máy,Mưa,0.328377,0.475942,0,1,91.95,Đêm,1.5
Hồ Chí Minh,,3,7.36,Xe Máy,Mưa Bão,0.599046,0.466938,6,0,85.25,Cao điểm Sáng,2.05
Hải Phòng,,1,13.87,Ô Tô 4 Chỗ,Mưa,0.681147,0.8452,9,0,97.67,Chiều,1.48
Đà Nẵng,,2,5.81,Ô Tô 4 Chỗ,Mưa,0.698497,0.724975,10,0,97.72,Chiều,1.3
Hải Phòng,,1,5.32,Ô Tô 4 Chỗ,Mưa Bão,0.817621,0.64386,1,0,89.79,Chiều,1.34
Hà Nội,,2,11.12,Xe ViP,Mưa,0.917067,0.442632,8,0,91.11,Đêm,1.3
Hải Phòng,,1,18.72,Xe Máy,Mưa,0.513326,0.848308,18,0,92.09,Cao điểm Tối,2.3
Hải Phòng,,4,1.04,Ô Tô 4 Chỗ,Nắng,0.521567,0.846507,20,0,93.29,Cao điểm Sáng,1.79
Hồ Chí Minh,,0,7.21,Ô Tô 4 Chỗ,Mưa,0.786823,0.406468,16,0,91.94,Chiều,1.2
Hà Nội,,2,0.64,Ô Tô 4 Chỗ,Nhiều Mây,0.601262,0.485763,14,0,93.89,Cao điểm Tối,1.1
Cần Thơ,,0,17.83,Xe Máy,Mưa Bão,0.865954,0.714748,17,0,96.14,Đêm,1.37
Cần Thơ,,4,1.36,Ô Tô 4 Chỗ,Mưa,0.209548,0.669883,22,0,98.17,Cao điểm Sáng,2.78
Hồ Chí Minh,,1,3.54,Xe ViP,Nắng,0.204128,0.905168,5,0,91.88,Cao điểm Tối,2.2
Hồ Chí Minh,,4,12.23,Xe Máy,Nắng,0.396884,0.616969,12,0,88.12,Chiều,1.33
Đà Nẵng,,1,2.71,Xe Máy,Nắng,0.401023,0.54696,15,0,87.48,Cao điểm Tối,1.39
Hà Nội,,6,6.41,Xe ViP,Mưa Bão,0.7322,0.699181,13,1,93.22,Đêm,1.12
Cần Thơ,,6,16.36,Ô Tô 4 Chỗ,Mưa,0.304491,0.585577,11,1,94.87,Cao điểm Sáng,2.33
Hồ Chí Minh,,5,10.65,Ô Tô 4 Chỗ,Mưa Bão,0.435916,0.904355,19,1,84.35,Cao điểm Tối,2.37
Đà Nẵng,,0,13.13,Xe ViP,Mưa,0.608527,0.475289,7,0,85.91,Cao điểm Sáng,2.24
Đà Nẵng,,5,19.69,Xe Máy,Nhiều Mây,0.534893,0.647199,5,1,90.26,Cao điểm Tối,1.26
Cần Thơ,,6,16.52,Xe ViP,Nắng,0.734388,0.773907,22,1,87.75,Cao điểm Tối,1.37
Cần Thơ,,0,1.05,Xe Máy,Mưa,0.765711,0.401799,18,0,95.17,Cao điểm Tối,2.42
Hà Nội,,4,4.11,Xe Máy,Nhiều Mây,0.419702,0.939973,5,0,91.03,Đêm,1.78
Cần Thơ,,1,5.12,Ô Tô 4 Chỗ,Nắng,0.224311,0.923008,14,0,96.29,Chiều,2.05
Hải Phòng,,1,6.19,Xe Máy,Mưa Bão,0.96901,0.52106,7,0,92.39,Chiều,1.34
Hà Nội,,1,19.04,Xe Máy,Mưa,0.314544,0.857543,18,0,89.79,Cao điểm Sáng,2.46
Đà Nẵng,,6,10.66,Ô Tô 4 Chỗ,Nhiều Mây,0.247247,0.535105,9,1,93.06,Cao điểm Sáng,1.57
Hà Nội,,3,3.94,Xe Máy,Mưa Bão,0.63149,0.552736,8,0,86.04,Chiều,1.12
Đà Nẵng,,2,5.09,Xe Máy,Nắng,0.699584,0.891865,14,0,95.16,Đêm,1.29
Hà Nội,,2,1.76,Xe ViP,Mưa Bão,0.595613,0.696363,12,0,91.99,Cao điểm Tối,2.3
Cần Thơ,,2,3.55,Xe Máy,Mưa Bão,0.90644,0.685429,8,0,93.13,Chiều,1.37
Hồ Chí Minh,,3,19.74,Ô Tô 4 Chỗ,Mưa,0.571061,0.639253,9,0,91.59,Cao điểm Sáng,2.53
Đà Nẵng,,4,2.36,Ô Tô 4 Chỗ,Mưa,0.732815,0.516448,2,0,87.01,Cao điểm Tối,2.39
Hải Phòng,,0,6.98,Xe ViP,Nắng,0.292707,0.517247,3,0,90.43,Chiều,1.34
Cần Thơ,,3,8.71,Xe Máy,Mưa Bão,0.363715,0.74244,13,0,94.87,Cao điểm Sáng,2.13
Hải Phòng,,2,18.74,Xe Máy,Mưa,0.557288,0.825993,15,0,96.3,Cao điểm Sáng,2.74
Hồ Chí Minh,,0,4.66,Xe Máy,Mưa Bão,0.237169,0.516025,6,0,94.22,Cao điểm Tối,2
Hải Phòng,,3,16.05,Ô Tô 4 Chỗ,Mưa Bão,0.246517,0.986722,10,0,96.57,Cao điểm Sáng,3.34
Hà Nội,,3,10.55,Xe ViP,Nhiều Mây,0.984626,0.760566,16,0,96.77,Chiều,1
Hải Phòng,,4,13.27,Xe ViP,Nắng,0.782891,0.994236,10,0,92.41,Chiều,1.32
Hải Phòng,,1,14.13,Xe ViP,Nhiều Mây,0.650402,0.614522,16,0,97.94,Đêm,1
Hà Nội,,3,15.21,Ô Tô 4 Chỗ,Nắng,0.412098,0.944513,9,0,92.16,Cao điểm Tối,2.08
Hà Nội,,5,13.01,Xe ViP,Mưa Bão,0.530867,0.636592,23,1,88.05,Đêm,1.36
Hải Phòng,,6,0.97,Xe ViP,Nắng,0.608657,0.490542,15,1,95.83,Chiều,1
Hải Phòng,,3,6.06,Ô Tô 4 Chỗ,Mưa Bão,0.846632,0.794292,20,0,83.6,Cao điểm Sáng,2
Hải Phòng,,1,15.08,Xe Máy,Mưa Bão,0.606806,0.504581,8,0,88.38,Đêm,1.14
Cần Thơ,,6,18.66,Xe ViP,Mưa Bão,0.263828,0.628418,14,1,89.85,Đêm,1.76
Hải Phòng,,5,8.78,Ô Tô 4 Chỗ,Nắng,0.411724,0.714506,4,1,94,Đêm,1.3
Cần Thơ,,3,3.73,Xe ViP,Mưa,0.327452,0.569175,17,0,94.15,Cao điểm Sáng,2.2
Cần Thơ,,2,1.1,Ô Tô 4 Chỗ,Mưa Bão,0.616954,0.943859,16,0,97.79,Cao điểm Tối,2.88
Hồ Chí Minh,,4,3.82,Ô Tô 4 Chỗ,Mưa,0.816736,0.982736,10,0,98.04,Cao điểm Sáng,2.75
Cần Thơ,,0,18.03,Xe Máy,Nắng,0.321886,0.930228,5,0,88.84,Đêm,1.91
Đà Nẵng,,0,12.56,Ô Tô 4 Chỗ,Mưa Bão,0.518395,0.987933,1,0,85.97,Chiều,2.09
Cần Thơ,,4,15.26,Xe ViP,Nắng,0.624271,0.722945,10,0,92.09,Cao điểm Tối,1.43
Hồ Chí Minh,,1,3.68,Xe ViP,Mưa,0.624424,0.594039,16,0,91.76,Đêm,1.14
Đà Nẵng,,6,3.96,Xe Máy,Nắng,0.432735,0.899571,11,1,90.61,Đêm,1.55
Hải Phòng,,2,6.88,Xe Máy,Nắng,0.753669,0.498341,19,0,94.64,Cao điểm Tối,1.34
Hà Nội,,6,19.63,Ô Tô 4 Chỗ,Nắng,0.35482,0.791153,19,1,97.42,Đêm,1.65
Hà Nội,,2,16.4,Ô Tô 4 Chỗ,Mưa Bão,0.535055,0.879321,20,0,90.04,Chiều,1.78
